name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Dr. Gaurav Shalya - Aesthetic Art,dr-gaurav-shalya-aesthetic-art,,"Silver Point, 502, Kasturi Park, Maneklal Estate, Ghatkopar West, Mumbai, Maharashtra 400086, India",Mumbai,Maharashtra,India,400086,19.0878668,72.9027294,919454759404,,https://aestheticart.in/,"Plastic surgeon, Cosmetic surgeon, Plastic surgery clinic, Surgical oncologist","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 12\u202fPM""}",5,1461,ChIJzzOpBsvH5zsRDg3dcdFDUGc,https://www.google.com/maps/search/?api=1&query=Dr.%20Gaurav%20Shalya%20-%20Aesthetic%20Art&query_place_id=ChIJzzOpBsvH5zsRDg3dcdFDUGc,https://lh3.googleusercontent.com/p/AF1QipMsLCYHWHyfalm5Ac8HmIx66a-s1gzWjnqxsupW=w408-h271-k-no,,mum.drgauravshalyaaesthe.152@antidote-temp.com,FALSE,pending,unclaimed
The Clinic by Dr Zara Dadi,the-clinic-by-dr-zara-dadi,,"3rd Floor, Nirav Apartment, 1, above 1441 Pizzeria, near IDFC first bank, Gulmohar Road, JVPD Scheme, Juhu, Mumbai, Maharashtra 400049, India",Mumbai,Maharashtra,India,400049,19.1162785,72.8323323,918591741112,,,"Skin care clinic, Cosmetic dentist, Dentist, Dermatologist, Doctor, Hair removal service, Laser hair removal service, Tattoo removal service","{""Monday"": ""12 to 7\u202fPM"", ""Tuesday"": ""12 to 7\u202fPM"", ""Wednesday"": ""12 to 7\u202fPM"", ""Thursday"": ""12 to 7\u202fPM"", ""Friday"": ""12 to 7\u202fPM"", ""Saturday"": ""12 to 7\u202fPM"", ""Sunday"": ""Closed""}",5,1025,ChIJGywwUivJ5zsR_d_RkbHDLRs,https://www.google.com/maps/search/?api=1&query=The%20Clinic%20by%20Dr%20Zara%20Dadi&query_place_id=ChIJGywwUivJ5zsR_d_RkbHDLRs,https://lh3.googleusercontent.com/p/AF1QipMXMakkB7TVA-LxtkhVoPZYw2GZ1lr9D53lm02J=w408-h408-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",mum.theclinicbydrzaradad.281@antidote-temp.com,FALSE,pending,unclaimed
Dr Vandana Punjabi,dr-vandana-punjabi,,"Ground Floor, Krishna Niwas, Rd No. 3, near Khar Road Railway Station, Govind Dham, Khar West, Mumbai, Maharashtra 400052, India",Mumbai,Maharashtra,India,400052,19.0680902,72.8390879,919702880022,,http://www.vandanapunjabi.com/,Dermatologist,"{""Monday"": ""10:30\u202fAM to 7\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 7\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 7\u202fPM"", ""Thursday"": ""10:30\u202fAM to 7\u202fPM"", ""Friday"": ""10:30\u202fAM to 7\u202fPM"", ""Saturday"": ""10:30\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",5,463,ChIJR8qRcxDJ5zsRMTWNqMSkF20,https://www.google.com/maps/search/?api=1&query=Dr%20Vandana%20Punjabi&query_place_id=ChIJR8qRcxDJ5zsRMTWNqMSkF20,https://lh3.googleusercontent.com/p/AF1QipM-zaLPs-znpZyTcXykjPuO6Ll5S8Gte9uxr58=w408-h360-k-no,,mum.drvandanapunjabi.849@antidote-temp.com,FALSE,pending,unclaimed
Dental Mansion,dental-mansion,,"211, 2nd Floor, Runwal R Square, Lal Bahadur Shastri Marg, next to Runwal Anthurium, Vardhman Nagar, Mulund West, Mumbai, Maharashtra 400080, India",Mumbai,Maharashtra,India,400080,19.1807445,72.9467345,918828414812,,https://dentalmansion.com/,Dentist,"{""Monday"": ""10\u202fAM to 8:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 8:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 8:30\u202fPM"", ""Thursday"": ""10\u202fAM to 8:30\u202fPM"", ""Friday"": ""10\u202fAM to 8:30\u202fPM"", ""Saturday"": ""10\u202fAM to 8:30\u202fPM"", ""Sunday"": ""Closed""}",5,437,ChIJcajV-x-55zsRRFQZobFoDqs,https://www.google.com/maps/search/?api=1&query=Dental%20Mansion&query_place_id=ChIJcajV-x-55zsRRFQZobFoDqs,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no3k6HiutK4PV6PTne6VCL866KJY94tdRrdNMqqXsZs3zQ6LWfwcZQBxS9wgmtat2U3qr9RLj0dgTqW180p9lod72nnWAjye91T5bQehwJ2XAZ8PG_xK8d9ddkP_dlxcR-UO3EB=w408-h544-k-no,"Wheelchair Accessible, Credit Cards Accepted",mum.dentalmansion.1004@antidote-temp.com,FALSE,pending,unclaimed
"Dr. Reshma Ahuja - Leading Dermatologist, Cosmetologist & Trichologist in Powai",dr-reshma-ahuja-leading-dermatologist-cosmetologist-trichologist-in-powai,,"Sorrento Building 803, opp. Golden Oak, near Aroma's Cafe, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076, India",Mumbai,Maharashtra,India,400076,19.1180353,72.9086539,919820281901,,http://www.drreshmaahuja.com/,"Tattoo removal service, Cosmetic surgeon, Hair removal service, Hair transplantation clinic, Laser hair removal service, Pediatric dermatologist, Skin care clinic, Dermatologist","{""Monday"": ""10\u202fAM to 8:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 8:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 8:30\u202fPM"", ""Thursday"": ""10\u202fAM to 8:30\u202fPM"", ""Friday"": ""10\u202fAM to 8:30\u202fPM"", ""Saturday"": ""10\u202fAM to 8:30\u202fPM"", ""Sunday"": ""Closed""}",5,407,ChIJE8CDgtfH5zsRPccTx7dVeRY,https://www.google.com/maps/search/?api=1&query=Dr.%20Reshma%20Ahuja%20-%20Leading%20Dermatologist%2C%20Cosmetologist%20%26%20Trichologist%20in%20Powai&query_place_id=ChIJE8CDgtfH5zsRPccTx7dVeRY,https://lh3.googleusercontent.com/p/AF1QipOnDcaFU9Dc5pgiETRkrzcTYMbG79GzwuFSQoRj=w408-h260-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",mum.drreshmaahujaleading.380@antidote-temp.com,FALSE,pending,unclaimed
Dr Yogesh Kalyanpad,dr-yogesh-kalyanpad,,"101, Raj Niketan Building, RIZVI PARK, Swami Vivekananda Rd, Rizvi Nagar, Khira Nagar, Santacruz (West), Mumbai, Maharashtra 400054, India",Mumbai,Maharashtra,India,400054,19.0893516,72.8377008,919730864763,,,"Skin care clinic, Hair transplantation clinic","{""Monday"": ""2 to 8\u202fPM"", ""Tuesday"": ""2 to 8\u202fPM"", ""Wednesday"": ""2 to 8\u202fPM"", ""Thursday"": ""2 to 8\u202fPM"", ""Friday"": ""2 to 8\u202fPM"", ""Saturday"": ""2 to 8\u202fPM"", ""Sunday"": ""Closed""}",5,375,ChIJv9UCo6XJ5zsRdbhSzbeU_G0,https://www.google.com/maps/search/?api=1&query=Dr%20Yogesh%20Kalyanpad&query_place_id=ChIJv9UCo6XJ5zsRdbhSzbeU_G0,https://lh3.googleusercontent.com/p/AF1QipNuxwisj6Mj28RpyEur2bDBE2j3VfjHucNMTQmx=w408-h408-k-no,"Wheelchair Accessible, Appointment Required",mum.dryogeshkalyanpad.851@antidote-temp.com,FALSE,pending,unclaimed
"Derma Puritys - Best Dermatologist & Skin Care clinic Mumbai for HydraFacial, Filler & Botox, PRP, Laser Hair Removal",derma-puritys-best-dermatologist-skin-care-clinic-mumbai-for-hydrafacial-filler-botox-prp-laser-hair-removal,,"5th Floor, Gehna Building, Linking Road, 16th Rd, next to Satguru, Mumbai, Maharashtra 400052, India",Mumbai,Maharashtra,India,400052,19.0694197,72.8335858,918655692978,,http://www.dermapuritys.com/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Hair removal service, Hair transplantation clinic, Laser hair removal service, Permanent make-up clinic, Tattoo removal service, Weight loss service, Wellness center","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",5,299,ChIJqTawD_bJ5zsRbfY-oCKNA0Y,https://www.google.com/maps/search/?api=1&query=Derma%20Puritys%20-%20Best%20Dermatologist%20%26%20Skin%20Care%20clinic%20Mumbai%20for%20HydraFacial%2C%20Filler%20%26%20Botox%2C%20PRP%2C%20Laser%20Hair%20Removal&query_place_id=ChIJqTawD_bJ5zsRbfY-oCKNA0Y,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjR-UfavSNp7fc3Pa4mmeOMn_PbHE5cxjAIUdj6nTYVvBssTCilyIHCxO-8y0t3UeMftHzDZza4tvx5ZhIKhcSME0kP4phCSx7jAkFq50jbPibETfGMoH5GGEJ20nuPlbUmSI4=w408-h544-k-no,"Wheelchair Accessible, Credit Cards Accepted",mum.dermapuritysbestderm.201@antidote-temp.com,FALSE,pending,unclaimed
Skinwood - Best Dermatologist Clinic in Mumbai,skinwood-best-dermatologist-clinic-in-mumbai,,"301, 4th floor, Anand centre, Dr. Ambedkar road, Pali Hill Rd, Bandra West, Mumbai, Maharashtra 400050, India",Mumbai,Maharashtra,India,400050,19.0649002,72.829894,912268843794,,http://www.theskinwood.com/,"Dermatologist, Esthetics service, Laser hair removal service, Skin care clinic","{""Monday"": ""11\u202fAM to 7:30\u202fPM"", ""Tuesday"": ""11\u202fAM to 7:30\u202fPM"", ""Wednesday"": ""11\u202fAM to 7:30\u202fPM"", ""Thursday"": ""11\u202fAM to 7:30\u202fPM"", ""Friday"": ""11\u202fAM to 7:30\u202fPM"", ""Saturday"": ""11\u202fAM to 7:30\u202fPM"", ""Sunday"": ""11\u202fAM to 7:30\u202fPM""}",5,292,ChIJ6SEmkvXP5zsRv1Z6V9lWBjs,https://www.google.com/maps/search/?api=1&query=Skinwood%20-%20Best%20Dermatologist%20Clinic%20in%20Mumbai&query_place_id=ChIJ6SEmkvXP5zsRv1Z6V9lWBjs,https://lh3.googleusercontent.com/p/AF1QipPRC6SiMUmDBD0FbboAFyZa9Th1qrvMufiwEVpO=w426-h240-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",mum.skinwoodbestdermatol.159@antidote-temp.com,FALSE,pending,unclaimed
OZO COSMETOLOGY WORLD CLINIQUE,ozo-cosmetology-world-clinique,,"Unit 405, Morya Estate, New Link Rd, opposite Infinity Mall, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053, India",Mumbai,Maharashtra,India,400053,19.141295,72.8318602,919920206516,,,Skin care clinic,"{""Monday"": ""12 to 6\u202fPM"", ""Tuesday"": ""12 to 6\u202fPM"", ""Wednesday"": ""12 to 6\u202fPM"", ""Thursday"": ""12 to 6\u202fPM"", ""Friday"": ""12 to 6\u202fPM"", ""Saturday"": ""12 to 6\u202fPM"", ""Sunday"": ""12 to 6\u202fPM""}",5,292,ChIJc1INFCO25zsRF_hTU-ZafUU,https://www.google.com/maps/search/?api=1&query=OZO%20COSMETOLOGY%20WORLD%20CLINIQUE&query_place_id=ChIJc1INFCO25zsRF_hTU-ZafUU,https://lh3.googleusercontent.com/p/AF1QipMteyUpLxdEvYS2eVxPRzRLmYM2GA7tMl5WjIT8=w408-h544-k-no,,mum.ozocosmetologyworldc.246@antidote-temp.com,FALSE,pending,unclaimed
Auro Skin Clinic | Dr Avina Jain | Skin Specialist | Best Dermatologist in Mumbai,auro-skin-clinic-dr-avina-jain-skin-specialist-best-dermatologist-in-mumbai,,"2nd Floor, Sapphire Plaza, Dadabhai Rd, opp. CNM School, Pond Gaothan, Navpada, Kamala Nagar, Vile Parle West, Mumbai, Maharashtra 400056, India",Mumbai,Maharashtra,India,400056,19.1059541,72.8413381,919136095925,,https://www.auroskin.in/,"Tattoo removal service, Dermatologist, Hair removal service, Laser hair removal service, Skin care clinic, Venereologist, Walk-in clinic","{""Monday"": ""10\u202fAM to 6\u202fPM"", ""Tuesday"": ""10\u202fAM to 6\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 6\u202fPM"", ""Friday"": ""10\u202fAM to 6\u202fPM"", ""Saturday"": ""10\u202fAM to 6\u202fPM"", ""Sunday"": ""Closed""}",5,272,ChIJL3jic0W35zsRJYyYnX2557M,https://www.google.com/maps/search/?api=1&query=Auro%20Skin%20Clinic%20%7C%20Dr%20Avina%20Jain%20%7C%20Skin%20Specialist%20%7C%20Best%20Dermatologist%20in%20Mumbai&query_place_id=ChIJL3jic0W35zsRJYyYnX2557M,https://lh3.googleusercontent.com/p/AF1QipM8PE3aoVkiKuQx02A0NBZsmxTy2-LFEDhnYUYg=w408-h407-k-no,"Wheelchair Accessible, Credit Cards Accepted",mum.auroskinclinicdravin.381@antidote-temp.com,FALSE,pending,unclaimed
